LakeName,County,RegulationText,HasCrossReference,IsCompoundEntry,SpeciesCount
"AGNES LAKE","Douglas","Largemouth and smallmouth bass: all from 12-20"" must be immediately released, only 1 over 20"" allowed in possession.",False,False,1
"AITKIN LAKE including area known as Aitkin Flowage","Aitkin","See Big Sandy Lake.",True,True,0
"ALEXANDER LAKE","Morrison","Northern pike: all from 24-36"" must be immediately released. Possession limit 3, only 1 over 36"".",False,False,1
"AMELIA LAKE","Pope","Sunfish: daily limit 10.",False,False,1
"ANDREW LAKE","Douglas","Sunfish: daily limit 10.",False,False,1
"ANDRUSIA LAKE","Beltrami","See Cass Lake Chain.",True,False,0
"ANN LAKE","Carver","Largemouth bass: catch-and-release only. Northern pike: all from 24-36"" must be immediately released. Possession limit 3, only 1 over 36"".",False,False,2
"ANNIE BATTLE LAKE including inlet to Molly Stark Lake and outlet to Blanche Lake","Otter Tail","Use of gas and electric motors, powered augers, and other electronic fish‑finding devices is prohibited. Sunfish: daily limit 5. Northern pike, largemouth and smallmouth bass: catch-and-release only. Crappie: possession limit 5.",False,True,3
"ARROWHEAD LAKE","Crow Wing","See Whitefish Chain.",True,False,0
"ASH LAKE","St. Louis","Northern pike: all from 24-36"" must be immediately released, possession limit 3, only 1 over 36"".",False,False,1
"AUGUSTA LAKE including connected Clearwater, Grass, Augusta, Otter, and Caroline lakes","Wright","Crappie: daily limit 5. Sunfish: daily limit 10.",False,True,2
"BALM LAKE","Beltrami","Largemouth and smallmouth bass: all from 14-20"" must be immediately released, only 1 over 20"" allowed in possession.",False,False,1
"BALSAM LAKE including connected Haskell and Scrapper lakes","Itasca","Northern pike: all from 24-36"" must be immediately released. Possession limit 3, only 1 over 36"".",False,True,1
"BASS LAKE near Cohasset","Itasca","Sunfish: daily limit 5.",False,False,1
"BASS LAKE near Underwood","Otter Tail","Sunfish: daily limit 5.",False,False,1
"BASS LAKE near Burtrum north of Long Lake","Todd","Walleye: possession limit 2. Largemouth bass: possession limit 1. Northern pike: possession limit 3, all larger than 26"" must be immediately released.",False,False,3
"BATTLE LAKE","Itasca","Sunfish: daily limit 5.",False,False,1
"BEAR CREEK RESERVOIR","Chester Woods","(Olmsted) See Rochester–Olmsted County Area Lakes.",True,False,0
"BEAR HEAD LAKE","St. Louis","Sunfish: daily limit 5.",False,False,1
"BEAR LAKE","Itasca","Sunfish: daily limit 5.",False,False,1
"BEAUTY LAKE","Todd","Sunfish: daily limit 5.",False,False,1
"BECKER LAKE","Stearns","See Sauk River Chain of Lakes.",True,False,0
"BELTRAMI LAKE","Beltrami","See Turtle River chain of lakes.",True,False,0
"BERTHA LAKE","Crow Wing","See Whitefish Chain.",True,False,0
"BEUBER LAKE","Cass","Sunfish: daily limit 5.",False,False,1
"BIG BASS LAKE","Beltrami","Largemouth and smallmouth bass: all from 14-20"" must be immediately released, only 1 over 20"" allowed in possession. Sunfish: daily limit 5.",False,False,2
"BIG FLOYD LAKE","Becker","Sunfish: daily limit 5.",False,False,1
"BIG LAKE","Beltrami","Sunfish: daily limit 5.",False,False,1
"BIG MANTRAP","Hubbard","Crappie: daily limit 5. Northern pike: all from 24‑36"" must be immediately released. Possession limit 3, only 1 over 36"".",False,False,2
"BIG MARINE LAKE","Washington","Sunfish: daily limit 10. ⁕NEW—BIG PINE LAKE (Otter Tail) Sunfish: daily limit 10. Walleye: all from 18-26"" must be immediately released, only 1 over 26"" allowed in possession. Crappie: daily limit 5.",False,False,4
"BIG PORTAGE LAKE and connected Rice and Deep Portage lakes","Cass","Crappie: daily limit 5. Sunfish: daily limit 10.",False,True,2
"BIG RICE LAKE","Beltrami","See Cass Chain.",True,False,0
"BIG SANDY LAKE and connected waters","Aitkin",": Aitkin Lake including area known as Aitkin Flowage, Davis Lake including bay known as Steamboat Lake, Flowage Lake, Sandy River Lake, Prairie River from confluence with Tamarack River downstream to confluence with Big Sandy Lake, Sandy River from State Highway 210 downstream to confluence with the Mississippi River, and West Savanna River from County Highway 14 downstream to confluence with the Prairie River. Sunfish: daily limit 5. Walleye: all less than 14"" or greater than 18"" must be immediately released, only 1 over 26"" allowed in possession.",False,True,2
"BIG SWAN LAKE","Todd","Northern pike: all from 24-36"" must be immediately released. Possession limit 6, only 1 over 36"".",False,False,1
"BIG TROUT LAKE","Crow Wing","See Whitefish Chain.",True,False,0
"BLACKDUCK LAKE","Beltrami","Sunfish: daily limit 5.",False,False,1
"BLACKDUCK LAKE","St. Louis","Sunfish: daily limit 10.",False,False,1
"BLACK BASS LAKE","Mille Lacs","Use of gas or electric augers, underwater cameras, and other electronic fish-finding devices is prohibited. Largemouth and smallmouth bass: catch‑and-release only. Northern pike: catch-and-release only. Sunfish: daily limit 5.",False,False,3
"BLACKWELL LAKE","Douglas","Sunfish: daily limit 10.",False,False,1
"BLUEBERRY LAKE","Wadena","Northern pike: all from 24-36"" must be immediately released. Possession limit 3, only 1 over 36"".",False,False,1
"BOLFING LAKE","Stearns","See Sauk River Chain of Lakes.",True,False,0
"BORDEN LAKE","Crow Wing","Sunfish: daily limit 5. Crappie: daily limit 5.",False,False,2
"BOY LAKE and connected Swift Lake","Cass","Crappie: daily limit 5. Sunfish: daily limit 10.",False,True,2
"BUCK LAKE near Burtrum","Todd","Sunfish: daily limit 5.",False,False,1
"BUFFALO LAKE","Becker","Sunfish: daily limit 5.",False,False,1
"CAMPBELL LAKE","Beltrami","Sunfish: daily limit 5.",False,False,1
"CARIBOU LAKE","Itasca","Lake trout: minimum size limit 20"". Possession limit 1.",False,False,1
"CARNELIAN LAKE","Stearns","Sunfish: daily limit 5.",False,False,1
"CASCADE LAKE","Cascade Ponds","(Olmsted) See Rochester–Olmsted County Area Lakes.",True,False,0
"CASS CHAIN including connecting waters Wolf, Ose, Andrusia, Big Lake Creek, Mississippi River, Cass, Fox Creek, Pike Bay, Windigo, Buck, Big Rice, Little Rice, Kitchi, Turtle River, and Pug Hole","Beltrami","Sunfish: daily limit 5.",False,True,1
"CEDAR LAKE","Morrison","Walleye: possession limit 2. Crappie: daily limit 5. Northern pike: possession limit 3, all larger than 26"" must be immediately released.",False,False,3
"CEDAR LAKE north of Sauk Centre","Todd","Sunfish: daily limit 5.",False,False,1
"CEDAR ISLAND LAKE","Stearns","See Sauk River Chain of Lakes.",True,False,0
"CENTER LAKE, North and South","Chisago","Northern pike: all from 24-36"" must be immediately released, possession limit 3, only 1 over 36"".",False,False,1
"CENTERVILLE LAKE","Anoka","Sunfish: daily limit 5.",False,False,1
"CHILD LAKE","Cass","Northern pike: all from 24-36"" must be immediately released. Possession limit 3, only 1 over 36"".",False,False,1
"CHISAGO LAKE","Chisago","Largemouth bass: all 12"" and larger must be immediately released.",False,False,1
"CLAMSHELL LAKE","Crow Wing","See Whitefish Chain.",True,False,0
"CLEAR LAKE","Aitkin","Sunfish: daily limit 10.",False,False,1
"CLEAR LAKE","Waseca","Largemouth and smallmouth bass: catch-and-release only.",False,False,1
"CLEARWATER LAKE including connected Caroline, Augusta, Grass and Otter lakes and connecting portions of the Clearwater River","Stearns and Wright","Crappie: daily limit 5. Sunfish: daily limit 10.",False,True,2
"CLITHERALL LAKE","Otter Tail","Smallmouth bass: all from 14-20"" must be immediately released, only 1 over 20"" allowed in possession.",False,False,1
"COON LAKE","Anoka","Walleye: minimum size limit 17"".",False,False,1
"COON-SANDWICK LAKE","Itasca","Northern pike: all from 24-36"" must be immediately released, possession limit 3, only 1 over 36"". CRANE LAKE including Vermilion Gorge and Echo River from mouth upstream to",False,False,1
"County Highway 424 bridge","St. Louis","Walleye: all from 18-26"" must be immediately released, only 1 over 26"" allowed in possession. Walleye and sauger: possession limit 6 combined, only 4 may be walleye.",False,False,2
"CRAWFORD LAKE","Wright","Crappie: possession limit 5. Largemouth bass: catch-and-release only. Perch: possession limit 10. Sunfish: possession limit 5. Walleye: possession limit 2.",False,False,5
"CROOKED LAKE","Anoka","Largemouth bass: catch-and-release only.",False,False,1
"CROOKED LAKE and connected Welsh Lake","Cass","Sunfish: daily limit 5.",False,True,1
"CROOKED LAKE","Stearns","Largemouth bass: all from 12-20"" must be immediately released, only 1 over 20"" allowed in possession.",False,False,1
"CROSS LAKE and connected waters including the Snake River under the I-35 bridges downstream to the Cross Lake Road/County Road 9 bridge","Pine","Sunfish: daily limit 10.",False,True,1
"CROSS LAKE RESERVOIR","Crow Wing","See Whitefish Chain.",True,False,0
"CROW WING LAKES, 1st, 2nd, 3rd, and 4th including the Crow Wing River from County Road 109 upstream to Crown Point Road","Hubbard","Sunfish: daily limit 5.",False,True,1
"CROW WING LAKES, 5th and 6th","Hubbard","Northern pike: all from 24‑36"" must be immediately released, possession limit 3, only 1 over 36"".",False,False,1
"CROW WING LAKES, 8th, 9th, and 10th","Hubbard","Northern pike: all from 24-36"" must be immediately released, possession limit 3, only 1 over 36"".",False,False,1
"CRYSTAL LAKE","Otter Tail","Sunfish: daily limit 10.",False,False,1
