LakeName,County,Species,RegulationType,DailyLimit,PossessionLimit,MinimumSize,MaximumSize,ProtectedSlot,IsCatchAndRelease,RegulationDetails
"AGNES LAKE","Douglas","Smallmouth Bass","ProtectedSlot",,,"","","12-20""",False,"Largemouth and smallmouth bass: all from 12-20"" must be immediately released, only 1 over 20"" allowed in possession"
"ALEXANDER LAKE","Morrison","Northern Pike","ProtectedSlot",,,"","","24-36""",False,"Northern pike: all from 24-36"" must be immediately released"
"AMELIA LAKE","Pope","Sunfish","DailyLimit",10,,"","","",False,"Sunfish: daily limit 10"
"ANDREW LAKE","Douglas","Sunfish","DailyLimit",10,,"","","",False,"Sunfish: daily limit 10"
"ANN LAKE","Carver","Largemouth Bass","CatchAndRelease",,,"","","",True,"Largemouth bass: catch-and-release only"
"ANN LAKE","Carver","Northern Pike","ProtectedSlot",,,"","","24-36""",False,"Northern pike: all from 24-36"" must be immediately released"
"ANNIE BATTLE LAKE including inlet to Molly Stark Lake and outlet to Blanche Lake","Otter Tail","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"ANNIE BATTLE LAKE including inlet to Molly Stark Lake and outlet to Blanche Lake","Otter Tail","Northern Pike","CatchAndRelease",,,"","","",True,"Northern pike, largemouth and smallmouth bass: catch-and-release only"
"ANNIE BATTLE LAKE including inlet to Molly Stark Lake and outlet to Blanche Lake","Otter Tail","Crappie","PossessionLimit",,5,"","","",False,"Crappie: possession limit 5"
"ASH LAKE","St. Louis","Northern Pike","Combined",,3,"","","24-36""",False,"Northern pike: all from 24-36"" must be immediately released, possession limit 3, only 1 over 36"""
"AUGUSTA LAKE including connected Clearwater, Grass, Augusta, Otter, and Caroline lakes","Wright","Crappie","DailyLimit",5,,"","","",False,"Crappie: daily limit 5"
"AUGUSTA LAKE including connected Clearwater, Grass, Augusta, Otter, and Caroline lakes","Wright","Sunfish","DailyLimit",10,,"","","",False,"Sunfish: daily limit 10"
"BALM LAKE","Beltrami","Smallmouth Bass","ProtectedSlot",,,"","","14-20""",False,"Largemouth and smallmouth bass: all from 14-20"" must be immediately released, only 1 over 20"" allowed in possession"
"BALSAM LAKE including connected Haskell and Scrapper lakes","Itasca","Northern Pike","ProtectedSlot",,,"","","24-36""",False,"Northern pike: all from 24-36"" must be immediately released"
"BASS LAKE near Cohasset","Itasca","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"BASS LAKE near Underwood","Otter Tail","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"BASS LAKE near Burtrum north of Long Lake","Todd","Walleye","PossessionLimit",,2,"","","",False,"Walleye: possession limit 2"
"BASS LAKE near Burtrum north of Long Lake","Todd","Largemouth Bass","PossessionLimit",,1,"","","",False,"Largemouth bass: possession limit 1"
"BASS LAKE near Burtrum north of Long Lake","Todd","Northern Pike","PossessionLimit",,3,"","","",False,"Northern pike: possession limit 3, all larger than 26"" must be immediately released"
"BATTLE LAKE","Itasca","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"BEAR HEAD LAKE","St. Louis","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"BEAR LAKE","Itasca","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"BEAUTY LAKE","Todd","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"BEUBER LAKE","Cass","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"BIG BASS LAKE","Beltrami","Smallmouth Bass","ProtectedSlot",,,"","","14-20""",False,"Largemouth and smallmouth bass: all from 14-20"" must be immediately released, only 1 over 20"" allowed in possession"
"BIG BASS LAKE","Beltrami","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"BIG FLOYD LAKE","Becker","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"BIG LAKE","Beltrami","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"BIG MANTRAP","Hubbard","Crappie","DailyLimit",5,,"","","",False,"Crappie: daily limit 5"
"BIG MANTRAP","Hubbard","Northern Pike","General",,,"","","",False,"Northern pike: all from 24‑36"" must be immediately released"
"BIG MARINE LAKE","Washington","Sunfish","DailyLimit",10,,"","","",False,"Sunfish: daily limit 10"
"BIG MARINE LAKE","Washington","Sunfish","DailyLimit",10,,"","","",False,"⁕NEW—BIG PINE LAKE (Otter Tail) Sunfish: daily limit 10"
"BIG MARINE LAKE","Washington","Walleye","ProtectedSlot",,,"","","18-26""",False,"Walleye: all from 18-26"" must be immediately released, only 1 over 26"" allowed in possession"
"BIG MARINE LAKE","Washington","Crappie","DailyLimit",5,,"","","",False,"Crappie: daily limit 5"
"BIG PORTAGE LAKE and connected Rice and Deep Portage lakes","Cass","Crappie","DailyLimit",5,,"","","",False,"Crappie: daily limit 5"
"BIG PORTAGE LAKE and connected Rice and Deep Portage lakes","Cass","Sunfish","DailyLimit",10,,"","","",False,"Sunfish: daily limit 10"
"BIG SANDY LAKE and connected waters","Aitkin","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"BIG SANDY LAKE and connected waters","Aitkin","Walleye","General",,,"","","",False,"Walleye: all less than 14"" or greater than 18"" must be immediately released, only 1 over 26"" allowed in possession"
"BIG SWAN LAKE","Todd","Northern Pike","ProtectedSlot",,,"","","24-36""",False,"Northern pike: all from 24-36"" must be immediately released"
"BLACKDUCK LAKE","Beltrami","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"BLACKDUCK LAKE","St. Louis","Sunfish","DailyLimit",10,,"","","",False,"Sunfish: daily limit 10"
"BLACK BASS LAKE","Mille Lacs","Smallmouth Bass","General",,,"","","",False,"Largemouth and smallmouth bass: catch‑and-release only"
"BLACK BASS LAKE","Mille Lacs","Northern Pike","CatchAndRelease",,,"","","",True,"Northern pike: catch-and-release only"
"BLACK BASS LAKE","Mille Lacs","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"BLACKWELL LAKE","Douglas","Sunfish","DailyLimit",10,,"","","",False,"Sunfish: daily limit 10"
"BLUEBERRY LAKE","Wadena","Northern Pike","ProtectedSlot",,,"","","24-36""",False,"Northern pike: all from 24-36"" must be immediately released"
"BORDEN LAKE","Crow Wing","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"BORDEN LAKE","Crow Wing","Crappie","DailyLimit",5,,"","","",False,"Crappie: daily limit 5"
"BOY LAKE and connected Swift Lake","Cass","Crappie","DailyLimit",5,,"","","",False,"Crappie: daily limit 5"
"BOY LAKE and connected Swift Lake","Cass","Sunfish","DailyLimit",10,,"","","",False,"Sunfish: daily limit 10"
"BUCK LAKE near Burtrum","Todd","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"BUFFALO LAKE","Becker","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"CAMPBELL LAKE","Beltrami","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"CARIBOU LAKE","Itasca","Trout","SizeLimit",,,"20""","","",False,"Lake trout: minimum size limit 20"""
"CARNELIAN LAKE","Stearns","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"CASS CHAIN including connecting waters Wolf, Ose, Andrusia, Big Lake Creek, Mississippi River, Cass, Fox Creek, Pike Bay, Windigo, Buck, Big Rice, Little Rice, Kitchi, Turtle River, and Pug Hole","Beltrami","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"CEDAR LAKE","Morrison","Walleye","PossessionLimit",,2,"","","",False,"Walleye: possession limit 2"
"CEDAR LAKE","Morrison","Crappie","DailyLimit",5,,"","","",False,"Crappie: daily limit 5"
"CEDAR LAKE","Morrison","Northern Pike","PossessionLimit",,3,"","","",False,"Northern pike: possession limit 3, all larger than 26"" must be immediately released"
"CEDAR LAKE north of Sauk Centre","Todd","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"CENTER LAKE, North and South","Chisago","Northern Pike","Combined",,3,"","","24-36""",False,"Northern pike: all from 24-36"" must be immediately released, possession limit 3, only 1 over 36"""
"CENTERVILLE LAKE","Anoka","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"CHILD LAKE","Cass","Northern Pike","ProtectedSlot",,,"","","24-36""",False,"Northern pike: all from 24-36"" must be immediately released"
"CHISAGO LAKE","Chisago","Largemouth Bass","General",,,"","","",False,"Largemouth bass: all 12"" and larger must be immediately released"
"CLEAR LAKE","Aitkin","Sunfish","DailyLimit",10,,"","","",False,"Sunfish: daily limit 10"
"CLEAR LAKE","Waseca","Smallmouth Bass","CatchAndRelease",,,"","","",True,"Largemouth and smallmouth bass: catch-and-release only"
"CLEARWATER LAKE including connected Caroline, Augusta, Grass and Otter lakes and connecting portions of the Clearwater River","Stearns and Wright","Crappie","DailyLimit",5,,"","","",False,"Crappie: daily limit 5"
"CLEARWATER LAKE including connected Caroline, Augusta, Grass and Otter lakes and connecting portions of the Clearwater River","Stearns and Wright","Sunfish","DailyLimit",10,,"","","",False,"Sunfish: daily limit 10"
"CLITHERALL LAKE","Otter Tail","Smallmouth Bass","ProtectedSlot",,,"","","14-20""",False,"Smallmouth bass: all from 14-20"" must be immediately released, only 1 over 20"" allowed in possession"
"COON LAKE","Anoka","Walleye","SizeLimit",,,"17""","","",False,"Walleye: minimum size limit 17"""
"COON-SANDWICK LAKE","Itasca","Northern Pike","Combined",,3,"","","24-36""",False,"Northern pike: all from 24-36"" must be immediately released, possession limit 3, only 1 over 36"""
"County Highway 424 bridge","St. Louis","Walleye","ProtectedSlot",,,"","","18-26""",False,"Walleye: all from 18-26"" must be immediately released, only 1 over 26"" allowed in possession"
"County Highway 424 bridge","St. Louis","Walleye","PossessionLimit",,6,"","","",False,"Walleye and sauger: possession limit 6 combined, only 4 may be walleye"
"CRAWFORD LAKE","Wright","Crappie","PossessionLimit",,5,"","","",False,"Crappie: possession limit 5"
"CRAWFORD LAKE","Wright","Largemouth Bass","CatchAndRelease",,,"","","",True,"Largemouth bass: catch-and-release only"
"CRAWFORD LAKE","Wright","Perch","PossessionLimit",,10,"","","",False,"Perch: possession limit 10"
"CRAWFORD LAKE","Wright","Sunfish","PossessionLimit",,5,"","","",False,"Sunfish: possession limit 5"
"CRAWFORD LAKE","Wright","Walleye","PossessionLimit",,2,"","","",False,"Walleye: possession limit 2"
"CROOKED LAKE","Anoka","Largemouth Bass","CatchAndRelease",,,"","","",True,"Largemouth bass: catch-and-release only"
"CROOKED LAKE and connected Welsh Lake","Cass","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"CROOKED LAKE","Stearns","Largemouth Bass","ProtectedSlot",,,"","","12-20""",False,"Largemouth bass: all from 12-20"" must be immediately released, only 1 over 20"" allowed in possession"
"CROSS LAKE and connected waters including the Snake River under the I-35 bridges downstream to the Cross Lake Road/County Road 9 bridge","Pine","Sunfish","DailyLimit",10,,"","","",False,"Sunfish: daily limit 10"
"CROW WING LAKES, 1st, 2nd, 3rd, and 4th including the Crow Wing River from County Road 109 upstream to Crown Point Road","Hubbard","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"CROW WING LAKES, 5th and 6th","Hubbard","Northern Pike","PossessionLimit",,3,"","","",False,"Northern pike: all from 24‑36"" must be immediately released, possession limit 3, only 1 over 36"""
"CROW WING LAKES, 8th, 9th, and 10th","Hubbard","Northern Pike","Combined",,3,"","","24-36""",False,"Northern pike: all from 24-36"" must be immediately released, possession limit 3, only 1 over 36"""
"CRYSTAL LAKE","Otter Tail","Sunfish","DailyLimit",10,,"","","",False,"Sunfish: daily limit 10"
